filename,phase,screen_title,confidence
Screenshot 2026-04-21 at 3.00.01 PM.png,Phase-8_Financial-Operations,Employee Profile (Payroll),high
Screenshot 2026-04-21 at 3.00.18 PM.png,Phase-8_Financial-Operations,Employee Profile (Payroll Detail),high
Screenshot 2026-04-21 at 3.00.29 PM.png,Phase-4_Service,Service Information (Service Technician),high
Screenshot 2026-04-21 at 3.00.48 PM.png,Phase-4_Service,Service Information,high
Screenshot 2026-04-21 at 3.00.59 PM.png,Phase-8_Financial-Operations,Real-time Billing Queue,high
Screenshot 2026-04-21 at 3.01.27 PM.png,Phase-8_Financial-Operations,Real-time Billing Queue,high
Screenshot 2026-04-21 at 3.01.39 PM.png,Phase-8_Financial-Operations,Real-time Billing Queue,high
Screenshot 2026-04-21 at 3.01.44 PM.png,Phase-8_Financial-Operations,Real-time Billing Queue,high
Screenshot 2026-04-21 at 3.02.42 PM.png,Phase-2_Sales-Intelligence,Equipment Profile,high
Screenshot 2026-04-21 at 3.02.50 PM.png,Phase-2_Sales-Intelligence,Equipment Profile,high
Screenshot 2026-04-21 at 3.03.06 PM.png,Phase-2_Sales-Intelligence,Equipment Profile,high
Screenshot 2026-04-21 at 3.03.14 PM.png,Phase-2_Sales-Intelligence,Equipment Profile,high
Screenshot 2026-04-21 at 3.03.17 PM.png,Phase-2_Sales-Intelligence,Equipment Profile,high
Screenshot 2026-04-21 at 3.03.32 PM.png,Phase-2_Sales-Intelligence,Equipment Profile,high
Screenshot 2026-04-21 at 3.03.40 PM.png,Phase-2_Sales-Intelligence,Equipment Profile,high
Screenshot 2026-04-21 at 3.03.45 PM.png,Phase-2_Sales-Intelligence,Equipment Profile,high
Screenshot 2026-04-21 at 3.03.48 PM.png,Phase-2_Sales-Intelligence,Equipment Profile,high
Screenshot 2026-04-21 at 3.03.52 PM.png,Phase-2_Sales-Intelligence,Equipment Profile,high
Screenshot 2026-04-21 at 3.04.54 PM.png,Phase-2_Sales-Intelligence,Equipment Quoting,high
Screenshot 2026-04-21 at 3.05.01 PM.png,Phase-2_Sales-Intelligence,Equipment Quoting,high
Screenshot 2026-04-21 at 3.05.10 PM.png,Phase-2_Sales-Intelligence,Equipment Quoting,high
Screenshot 2026-04-21 at 3.05.19 PM.png,Phase-2_Sales-Intelligence,Equipment Quoting,high
Screenshot 2026-04-21 at 3.05.26 PM.png,Phase-2_Sales-Intelligence,Equipment Quoting,high
Screenshot 2026-04-21 at 3.05.32 PM.png,Phase-2_Sales-Intelligence,Equipment Quoting,high
Screenshot 2026-04-21 at 3.05.42 PM.png,Phase-2_Sales-Intelligence,Equipment Quoting,high
Screenshot 2026-04-21 at 3.06.45 PM.png,Phase-2_Sales-Intelligence,Equipment Invoicing,high
Screenshot 2026-04-21 at 3.06.51 PM.png,Phase-2_Sales-Intelligence,Equipment Invoicing,high
Screenshot 2026-04-21 at 3.07.02 PM.png,Phase-2_Sales-Intelligence,Sales Support Portal,high
Screenshot 2026-04-21 at 3.07.06 PM.png,Phase-2_Sales-Intelligence,Sales Support Portal,high
Screenshot 2026-04-21 at 3.07.12 PM.png,Phase-2_Sales-Intelligence,Equipment Listing,high
Screenshot 2026-04-21 at 3.07.16 PM.png,Phase-2_Sales-Intelligence,Equipment Listing,high
