Phase,IntelliDealer Screen,IntelliDealer Field,Field Description (abbr),Source,QEP Table,QEP Column,Parity Status,Migration / Gap Notes
Phase-4_Service,ID InspectionPlus,Actions,"Depending on the status of the inspection form, you can either Start, Edit, or Review an inspection form.",Table,(unmapped),,REVIEW,Manual review needed
Phase-4_Service,ID InspectionPlus,Assignee from the Assignee,(inferred from workflow prose),Prose,(unmapped),,REVIEW,Manual review needed
Phase-4_Service,IntelliTech Scheduled Work Orders,Priority,The priority of this work order/segment in relation to the other,Table,(unmapped),,REVIEW,Manual review needed
Phase-4_Service,IntelliTech Scheduled Work Orders,Code,"work order/segments for the selected technician, as displayed on the Scheduled Work Orders screen. See Work Order: Segments.",Table,(unmapped),,REVIEW,Manual review needed
Phase-4_Service,IntelliTech Scheduled Work Orders,Log On,Indicates whether the technician is: On—Logged on to (working on) the work order segment. Yes—Can be logged on to the work order segment by,Table,(unmapped),,REVIEW,Manual review needed
Phase-4_Service,IntelliTech Scheduled Work Orders,Start Time,The start time of the labor transaction.,Table,(unmapped),,REVIEW,Manual review needed
Phase-4_Service,IntelliTech Scheduled Work Orders,Stop Time,"The stop time of the labor transaction, which will default to the current time.",Table,(unmapped),,REVIEW,Manual review needed
Phase-4_Service,IntelliTech Scheduled Work Orders,Check the select technician,(inferred from workflow prose),Prose,service_job_router,assigned_tech,BUILT,
Phase-4_Service,IntelliTech Scheduled Work Orders,Name                Description,(inferred from workflow prose),Prose,(unmapped),,REVIEW,Manual review needed
Phase-4_Service,IntelliTech Scheduled Work Orders,Select Technician,(inferred from workflow prose),Prose,service_job_router,assigned_tech,BUILT,
Phase-4_Service,IntelliTech Scheduled Work Orders,Service Call,(inferred from workflow prose),Prose,(unmapped),,REVIEW,Manual review needed
Phase-4_Service,IntelliTech Scheduled Work Orders,Yes link in the Log On,(inferred from workflow prose),Prose,(unmapped),,REVIEW,Manual review needed
Phase-4_Service,Labor Pricing,Select,Search for labor pricing by entering a Customer/Group customer name or group.,Table,(unmapped),,REVIEW,Manual review needed
Phase-4_Service,Labor Pricing,Select Premium,Search for labor pricing by entering a,Table,(unmapped),,REVIEW,Manual review needed
Phase-4_Service,Labor Pricing,Code,premium code.,Table,(unmapped),,REVIEW,Manual review needed
Phase-4_Service,Labor Pricing,Select Type,Search for labor pricing by entering a type code.,Table,(unmapped),,REVIEW,Manual review needed
Phase-4_Service,Labor Pricing,Select Work,Search for labor pricing by selecting a work,Table,(unmapped),,REVIEW,Manual review needed
Phase-4_Service,Labor Pricing,Order Status,"order status from the drop down list (e.g. customer, warranty or internal).",Table,(unmapped),,REVIEW,Manual review needed
Phase-4_Service,Labor Pricing,Select Default,Search for labor pricing by entering a,Table,(unmapped),,REVIEW,Manual review needed
Phase-4_Service,Labor Pricing,Premium Code,default premium code.,Table,(unmapped),,REVIEW,Manual review needed
