Phase,IntelliDealer Screen,IntelliDealer Field,Field Description (abbr),Source,QEP Table,QEP Column,Parity Status,Migration / Gap Notes
Phase-2_Sales-Intelligence,Base & Options,Base,Sort the search results by base number.,Table,(unmapped),,REVIEW,Manual review needed
Phase-2_Sales-Intelligence,Base & Options,Class,Sort the search results by class.,Table,(unmapped),,REVIEW,Manual review needed
Phase-2_Sales-Intelligence,Base & Options,Select Base,Search for base & option codes by entering a,Table,(unmapped),,REVIEW,Manual review needed
Phase-2_Sales-Intelligence,Base & Options,Number,base number.,Table,(unmapped),,REVIEW,Manual review needed
Phase-2_Sales-Intelligence,Base & Options,Select,Search for base & option codes by entering a,Table,(unmapped),,REVIEW,Manual review needed
Phase-2_Sales-Intelligence,Base & Options,Model,model.,Table,(unmapped),,REVIEW,Manual review needed
Phase-2_Sales-Intelligence,Base & Options,Include,"If selected, includes inactive base & option",Table,(unmapped),,REVIEW,Manual review needed
Phase-2_Sales-Intelligence,Base & Options,Inactive,codes within the search results.,Table,(unmapped),,REVIEW,Manual review needed
Phase-2_Sales-Intelligence,Base & Options,Price,Retail price for the base code. For new equipment the price is automatically loaded on the base code.,Table,(unmapped),,REVIEW,Manual review needed
Phase-2_Sales-Intelligence,Base & Options,Added,The date the base number was first added to the system.,Table,(unmapped),,REVIEW,Manual review needed
Phase-2_Sales-Intelligence,Base & Options,Modified,The date the base number was last modified.,Table,(unmapped),,REVIEW,Manual review needed
Phase-2_Sales-Intelligence,Base & Options,Class                   This,(inferred from workflow prose),Prose,(unmapped),,REVIEW,Manual review needed
Phase-2_Sales-Intelligence,Equipment Invoicing (Sales Support Portal),Customer,Sort the search results by customer.,Table,crm_companies,name,BUILT,Company name field
Phase-2_Sales-Intelligence,Equipment Invoicing (Sales Support Portal),Select Reference,Search for equipment invoices by entering a reference number. Number,Table,(unmapped),,REVIEW,Manual review needed
